,user_name,user_followers,date,text
65906,Daily Express,879107.0,2021-04-07,"Bitcoin price crash: Cryptocurrency plunges in value – 3% drop in 24 hours #Bitcoin #bitcoin #btc #Crypto 
https://t.co/ks8q9HLoNN"
66378,BTCC,81172.0,2021-04-07,"The #BTC is stuck inside a large range between $57,000 and $60,000 in recent days. #Bitcoin #crypto https://t.co/jgZSZMo06v"
66447,BtcTurk | PRO,90749.0,2021-04-07,"Price data of #Bitcoin #BTC pairs on #btcturkpro

Trade Bitcoin and cryptocurrencies professionally on BtcTurk | PR… https://t.co/eQgNPlrAhw"
67137,LatestLY,69095.0,2021-04-07,"#WhatsApp rival #Signal reportedly testing peer-to-peer payments via #Cryptocurrency 

@signalapp @WhatsApp… https://t.co/sb8FQRVc0C"
67248,Herbert R. Sim,147300.0,2021-04-07,"When supply is more than demand, what happens?   💸💵📉 

#Bitcoin is the BEST way to hedge against this fiat/dollar… https://t.co/LWKVjrjkYJ"
67422,Nick Sheppard,2728.0,2021-04-07,"I have a weird feeling that shitz gonna tank or pop tonight while I sleep. 🤷‍♂️
#crypto #cryptocurrency #ALTSEASON #alts #BTC #Bitcoin"
68061,Trees for the Future,9274.0,2021-04-06,Did you know we were one of the first environmental nonprofits to accept crypto? You can donate your… https://t.co/ocGGh8zNCE
68078,Ross Gerber,142460.0,2021-04-06,Time to step up your crypto game with GK! Check this out tomorrow as we make RIA history! Launching the first indiv… https://t.co/u6beXI9ycJ
68294,IGSquawk,51183.0,2021-04-06,"Crypto update:
#Bitcoin 58273.00 -0.89%
#Ether 2116.39 +0.56%
#BitcoinCash 650.78 +5.35%
#EOS 6.5542 -4.52%… https://t.co/ACkL59gBzX"
68389,Mark Albert,4284.0,2021-04-06,"#NBA’s @SacramentoKings become first major sports team to offer #bitcoin as salary option, @axios rpts: https://t.co/xHfKEteHfE #BTC"
68927,CoinMarketCap,1021676.0,2021-04-06,"With Bitcoin on everyone's tongue, have you visited our #Bitcoin Analytics Page? 

Learn more about Bitcoin with da… https://t.co/pF0N1OjrWN"
69148,Christophe Barraud🛢,84042.0,2021-04-06,"⚠ #Crypto Brief ⚠

#Bitcoin #Ethereum #Bitcoinnews #EthereumNews #XBT #BTC #XET 

https://t.co/punl1AyVgb"
69255,Blockstream,139926.0,2021-04-06,We believe that businesses built on #Bitcoin should also mine to support the network’s security. #BlockstreamMining… https://t.co/ooNm28lRfQ
69331,CoinMarketCap,1021677.0,2021-04-06,Roger Ver Ver has accused the domain name provider @GoDaddy of “spreading fake news” after advertising that Bitcoin… https://t.co/sDkSOyDzGk
69653,eToroX,21616.0,2021-04-06,Yesterday @MicroStrategy purchased an additional ~253 #BTC for $15M cash at an average price of ~$59339 per… https://t.co/qpyrRN4QeN
69928,Unocoin,35488.0,2021-04-06,"If someone gives you 1 #BTC  right now, what will you do with it?
Me: HODL!!!!!!!!! Till it reaches 1 million. 
#Bitcoin"
70066,BtcTurk | PRO,90749.0,2021-04-06,"Price data of #Bitcoin #BTC pairs on #btcturkpro

Trade Bitcoin and cryptocurrencies professionally on BtcTurk | PR… https://t.co/G9ZOPUtpdN"
70153,CoinMarketCap,1021681.0,2021-04-06,"Yesterday, we reached over 100k followers on Instagram! Do you use the gram? If so, why not give us a follow? 

 📷… https://t.co/qlP0yBSZKo"
70961,World News Network,21707.0,2021-04-06,"BTC Futures Open Interest Hits $23B, Binance Captures Lion’s Share

#BTC #Bitcoin #Cryptocurrency #Currency… https://t.co/o7erdlxhZt"
71542,Investing.com,431661.0,2021-04-06,"*Crypto market cap surges to record $2 trillion, #Bitcoin at $1.1 trillion - https://t.co/Ou84KN2P1V 

#BTC #ETH https://t.co/5s5RMJyAy5"
71715,Bitcoin News,978164.0,2021-04-05,JPMorgan has revised its #bitcoin price target to $130K. The bank says #BTC has become more appealing to institutio… https://t.co/n5wjwfzPns
72632,CoinMarketCap,1021730.0,2021-04-05,"Over the weekend Bitcoin and Ethereum cooled slightly, while Binance Coin, XRP and BitTorrent surged.

#Crypto… https://t.co/Z4nq7geGPY"
